id,lock_version,json_schema_version,accession_id,deaccession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,portion_id,"number",extent_type_id,"container_summary","physical_details","dimensions","created_by","last_modified_by","create_time","system_mtime","user_mtime"
344,0,1,NULL,NULL,19821,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
345,0,1,NULL,NULL,NULL,100,NULL,NULL,923,"683.0",3887,"39 digital objects collectively containing 1,797 digital files of various types.",NULL,NULL,"admin","admin","2016-05-13 18:34:27","2016-05-13 18:34:27","2016-05-13 18:34:27"
346,0,1,NULL,NULL,19855,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:28","2016-05-13 18:34:28","2016-05-13 18:34:28"
347,0,1,NULL,NULL,19856,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:28","2016-05-13 18:34:28","2016-05-13 18:34:28"
348,0,1,NULL,NULL,19858,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:28","2016-05-13 18:34:28","2016-05-13 18:34:28"
349,0,1,NULL,NULL,19859,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:29","2016-05-13 18:34:29","2016-05-13 18:34:29"
350,0,1,NULL,NULL,19860,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:29","2016-05-13 18:34:29","2016-05-13 18:34:29"
351,0,1,NULL,NULL,19861,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:29","2016-05-13 18:34:29","2016-05-13 18:34:29"
352,0,1,NULL,NULL,19863,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:29","2016-05-13 18:34:29","2016-05-13 18:34:29"
353,0,1,NULL,NULL,19864,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:29","2016-05-13 18:34:29","2016-05-13 18:34:29"
354,0,1,NULL,NULL,19865,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:34:29","2016-05-13 18:34:29","2016-05-13 18:34:29"
355,0,1,NULL,NULL,19665,NULL,NULL,NULL,923,"1",1372,NULL,NULL,NULL,"admin","admin","2016-05-15 19:53:49","2017-04-07 15:20:37","2016-05-15 19:53:49"
356,0,1,NULL,NULL,NULL,95,NULL,NULL,923,"1",1372,"(XX boxes)",NULL,NULL,"admin","admin","2016-05-15 19:57:34","2017-04-07 15:20:37","2016-05-15 19:57:34"
358,0,1,NULL,NULL,NULL,61,NULL,NULL,923,"36.7",2136,NULL,NULL,NULL,"admin","admin","2016-05-16 14:16:09","2016-05-16 14:16:09","2016-05-16 14:16:09"
386,0,1,NULL,NULL,NULL,105,NULL,NULL,923,"3",1372,"3 boxes",NULL,NULL,"admin","admin","2016-06-03 20:30:11","2017-04-07 15:20:37","2016-06-03 20:30:11"
403,0,1,NULL,NULL,NULL,111,NULL,NULL,923,"24",2682,NULL,NULL,NULL,"admin","admin","2016-06-17 19:40:38","2016-06-17 19:40:38","2016-06-17 19:40:38"
404,0,1,NULL,NULL,19872,NULL,NULL,NULL,923,"1",1372,NULL,NULL,NULL,"admin","admin","2016-06-21 18:28:38","2017-04-07 15:20:37","2016-06-21 18:28:38"
407,0,1,NULL,NULL,20026,NULL,NULL,NULL,923,"1",1372,NULL,NULL,NULL,"admin","admin","2016-06-21 18:52:06","2017-04-07 15:20:37","2016-06-21 18:52:06"
411,0,1,NULL,NULL,NULL,114,NULL,NULL,923,"22",4150,NULL,NULL,NULL,"admin","admin","2016-06-22 15:23:32","2016-06-22 15:23:32","2016-06-22 15:23:32"
412,0,1,NULL,NULL,NULL,115,NULL,NULL,923,"1",2076,NULL,NULL,NULL,"admin","admin","2016-06-22 16:17:13","2016-06-22 16:17:13","2016-06-22 16:17:13"
413,0,1,NULL,NULL,NULL,116,NULL,NULL,923,"number",1859,NULL,NULL,NULL,"admin","admin","2016-06-22 16:19:12","2016-06-22 16:19:12","2016-06-22 16:19:12"
414,0,1,NULL,NULL,NULL,27,NULL,NULL,923,"100",1372,NULL,NULL,NULL,"admin","admin","2016-06-23 08:26:05","2016-06-23 08:26:05","2016-06-23 08:26:05"
422,0,1,NULL,NULL,NULL,118,NULL,NULL,924,"1",1372,"in 2 boxes",NULL,NULL,"buschedw","buschedw","2016-06-27 13:32:00","2016-06-27 13:32:00","2016-06-27 13:32:00"
423,0,1,NULL,NULL,NULL,118,NULL,NULL,923,"10",2586,NULL,"black and white","8 x 10","buschedw","buschedw","2016-06-27 13:32:00","2016-06-27 13:32:00","2016-06-27 13:32:00"
